DrawDate,WhiteBall1,WhiteBall2,WhiteBall3,WhiteBall4,WhiteBall5,SuperBall
2025-01-01,11,12,16,25,35,20
2025-01-04,7,18,37,42,43,15
2025-01-08,13,33,35,36,38,12
2025-01-11,4,26,31,40,41,11
2025-01-15,8,14,16,21,28,10
2025-01-18,4,7,8,28,33,7
2025-01-22,1,3,12,16,30,26
2025-01-25,13,20,25,32,35,21
2025-01-29,6,21,24,33,37,7
2025-02-01,3,12,16,22,43,2
2025-02-05,15,20,30,36,46,3
2025-02-08,2,6,27,41,47,25
2025-02-12,13,20,22,27,35,17
2025-02-15,1,9,26,29,47,20
2025-02-19,1,4,12,15,28,15
2025-02-22,2,22,33,42,44,5
2025-02-26,9,19,30,35,66,16
2025-03-01,1,18,26,32,44,9
2025-03-05,3,13,17,23,55,24
2025-03-08,8,9,33,45,46,22
2025-03-12,15,21,29,37,45,3
2025-03-15,11,13,18,21,44,27
2025-03-19,15,22,31,52,57,2
2025-03-22,9,24,27,33,40,19
2025-03-26,1,13,26,30,33,26
2025-03-29,1,3,8,14,19,9
2025-04-02,3,11,14,27,37,22
2025-04-05,3,4,14,21,46,10
2025-04-09,7,21,26,37,44,13
2025-04-12,6,8,10,32,34,5
2025-04-16,12,19,23,33,41,4
2025-04-19,8,24,41,45,46,27
2025-04-23,19,27,29,40,45,9
2025-04-26,8,31,33,35,42,6
2025-04-30,1,2,7,11,37,16
2025-05-03,3,19,30,39,46,22
2025-05-07,8,23,38,40,41,1
2025-05-10,7,10,11,21,32,5
2025-05-14,6,19,39,42,46,8
2025-05-17,11,17,18,40,44,24
2025-05-21,20,22,28,29,45,18